ひらがな	カタカナ	修正ヘボン式	訓令式	外務省ヘボン式	日本式	駅名標ヘボン式	道路標識ヘボン式	６点点字
っりょ	ッリョ	rryo	rryo	rryo	rryo	rryo	rryo	⠂⠈⠚
っる	ッル	rru	rru	rru	rru	rru	rru	⠂⠙
っれ	ッレ	rre	rre	rre	rre	rre	rre	⠂⠛
っろ	ッロ	rro	rro	rro	rro	rro	rro	⠂⠚
て	テ	te	te	te	te	te	te	⠟
で	デ	de	de	de	de	de	de	⠐⠟
てゅ	テュ	tyu	tyu	tyu	tyu	tyu	tyu	⠨⠝
でゅ	デュ	dyu	dyu	dyu	dyu	dyu	dyu	⠸⠝
と	ト	to	to	to	to	to	to	⠞
ど	ド	do	do	do	do	do	do	⠐⠞
な	ナ	na	na	na	na	na	na	⠅
に	ニ	ni	ni	ni	ni	ni	ni	⠇
にぃ	ニィ	nī	nii	nii	nii	nii	nii	⠇⠒
にぇ	ニェ	nye	nye	nye	nye	nye	nye	⠈⠏
にゃ	ニャ	nya	nya	nya	nya	nya	nya	⠈⠅
にゅ	ニュ	nyu	nyu	nyu	nyu	nyu	nyu	⠈⠍
にょ	ニョ	nyo	nyo	nyo	nyo	nyo	nyo	⠈⠎
ぬ	ヌ	nu	nu	nu	nu	nu	nu	⠍
ね	ネ	ne	ne	ne	ne	ne	ne	⠏
の	ノ	no	no	no	no	no	no	⠎
は	ハ	ha	ha	ha	ha	ha	ha	⠥
ば	バ	ba	ba	ba	ba	ba	ba	⠐⠥
ぱ	パ	pa	pa	pa	pa	pa	pa	⠠⠥
ひ	ヒ	hi	hi	hi	hi	hi	hi	⠧
び	ビ	bi	bi	bi	bi	bi	bi	⠐⠧
ぴ	ピ	pi	pi	pi	pi	pi	pi	⠠⠧
ひぃ	ヒィ	hī	hii	hii	hii	hii	hii	⠧⠒
びぃ	ビィ	bī	bii	bii	bii	bii	bii	⠐⠧⠒
ぴぃ	ピィ	pī	pii	pii	pii	pii	pii	⠠⠧⠒
ひぇ	ヒェ	hye	hye	hye	hye	hye	hye	⠈⠯
びぇ	ビェ	bye	bye	bye	bye	bye	bye	⠘⠯
ぴぇ	ピェ	pye	pye	pye	pye	pye	pye	⠨⠯
ひゃ	ヒャ	hya	hya	hya	hya	hya	hya	⠈⠥
びゃ	ビャ	bya	bya	bya	bya	bya	bya	⠘⠥
ぴゃ	ピャ	pya	pya	pya	pya	pya	pya	⠨⠥
ひゅ	ヒュ	hyu	hyu	hyu	hyu	hyu	hyu	⠈⠭
びゅ	ビュ	byu	byu	byu	byu	byu	byu	⠘⠭
ぴゅ	ピュ	pyu	pyu	pyu	pyu	pyu	pyu	⠨⠭
ひょ	ヒョ	hyo	hyo	hyo	hyo	hyo	hyo	⠈⠮
びょ	ビョ	byo	byo	byo	byo	byo	byo	⠘⠮
ぴょ	ピョ	pyo	pyo	pyo	pyo	pyo	pyo	⠨⠮
ふ	フ	fu	hu	fu	hu	fu	fu	⠭
ぶ	ブ	bu	bu	bu	bu	bu	bu	⠐⠭
ぷ	プ	pu	pu	pu	pu	pu	pu	⠠⠭
ふぁ	ファ	fa	hwa	fa	hwa	fa	fa	⠢⠥
ふぃ	フィ	fi	hwi	fi	hwi	fi	fi	⠢⠧
ふぅ	フゥ	fu	fu	fu	fu	fu	fu	⠭⠒
ふぇ	フェ	fe	hwe	fe	hwe	fe	fe	⠢⠯
ふぉ	フォ	fo	hwo	fo	hwo	fo	fo	⠢⠮
ふゅ	フュ	fyu	hyu	fyu	hyu	fyu	fyu	⠨⠬
へ	ヘ	he	he	he	he	he	he	⠯
べ	ベ	be	be	be	be	be	be	⠐⠯
ぺ	ペ	pe	pe	pe	pe	pe	pe	⠠⠯
ほ	ホ	ho	ho	ho	ho	ho	ho	⠮
ぼ	ボ	bo	bo	bo	bo	bo	bo	⠐⠮
ぽ	ポ	po	po	po	po	po	po	⠠⠮
ま	マ	ma	ma	ma	ma	ma	ma	⠵
み	ミ	mi	mi	mi	mi	mi	mi	⠷
みぃ	ミィ	mī	mii	mii	mii	mii	mii	⠷⠒
みぇ	ミェ	mye	mye	mye	mye	mye	mye	⠈⠿
みゃ	ミャ	mya	mya	mya	mya	mya	mya	⠈⠵
みゅ	ミュ	myu	myu	myu	myu	myu	myu	⠈⠽
みょ	ミョ	myo	myo	myo	myo	myo	myo	⠈⠾
む	ム	mu	mu	mu	mu	mu	mu	⠽
め	メ	me	me	me	me	me	me	⠿
も	モ	mo	mo	mo	mo	mo	mo	⠾
ゃ	ャ	ya	ya	ya	ya	ya	ya	⠌
や	ヤ	ya	ya	ya	ya	ya	ya	⠌
ゅ	ュ	yu	yu	yu	yu	yu	yu	⠬
ゆ	ユ	yu	yu	yu	yu	yu	yu	⠬
ょ	ョ	yo	yo	yo	yo	yo	yo	⠜
よ	ヨ	yo	yo	yo	yo	yo	yo	⠜
ら	ラ	ra	ra	ra	ra	ra	ra	⠑
り	リ	ri	ri	ri	ri	ri	ri	⠓
りぃ	リィ	rī	rii	rii	rii	rii	rii	⠓⠒
